BallotInit ID|Society ID|Description|CreationDate
1|1|Ban single-use plastic bags|2022-12-10
2|1|Implement stricter emission standards|2022-11-15
3|2|Fund public transportation improvements|2022-10-20
4|2|Promote renewable energy usage|2022-09-25
5|3|Expand access to affordable housing|2022-08-30
6|3|Increase funding for public schools|2022-07-05
7|4|Enact stricter gun control laws|2022-06-10
8|4|Support small businesses through tax breaks|2022-05-15
9|5|Implement universal healthcare coverage|2022-04-20
10|5|Invest in infrastructure development|2022-03-25
